actual_delivery_days,is_late,price,freight_value,total_payment_value,max_installments,product_weight_g,product_length_cm,customer_state
4.0,0,84.9,13.25,392.6,3.0,150.0,16.0,25
33.0,1,99.0,42.72,141.72,4.0,600.0,35.0,16
2.0,0,75.0,8.29,83.29,8.0,400.0,27.0,25
16.0,0,39.9,42.76,165.32,3.0,3000.0,45.0,14
6.0,0,139.0,14.31,153.31,3.0,501.0,18.0,10
14.0,0,29.5,16.11,45.61,1.0,350.0,67.0,22
7.0,0,369.0,17.46,386.46,2.0,350.0,25.0,25
8.0,0,69.2,23.42,92.62,4.0,8050.0,57.0,25
16.0,0,23.5,15.79,117.87,1.0,200.0,16.0,4
4.0,0,249.9,16.85,266.75,3.0,267.0,16.0,25
4.0,0,69.9,9.18,79.08,1.0,281.0,30.0,23
10.0,0,45.9,15.11,61.01,3.0,800.0,20.0,10
3.0,0,148.9,7.91,156.81,2.0,225.0,16.0,25
11.0,0,19.9,12.79,65.38,6.0,100.0,31.0,25
6.0,0,69.9,14.07,83.97,5.0,800.0,45.0,25
6.0,0,132.8,2.83,222.81,5.0,3450.0,43.0,25
15.0,0,134.9,15.7,150.6,7.0,900.0,24.0,7
7.0,0,62.8,23.24,86.04,1.0,1150.0,30.0,18
10.0,0,49.9,16.11,264.04,2.0,600.0,17.0,10
6.0,0,249.9,19.85,269.75,5.0,210.0,18.0,10
10.0,0,15.9,11.85,55.5,2.0,250.0,40.0,25
5.0,0,18.99,18.23,37.22,1.0,50.0,19.0,23
5.0,0,61.2,11.15,72.35,1.0,1900.0,23.0,25
13.0,0,184.99,10.11,195.1,8.0,538.0,23.0,25
22.0,0,100.0,21.1,121.1,3.0,1400.0,28.0,12
33.0,0,149.94,33.91,183.85,1.0,11700.0,36.0,25
3.0,0,33.0,8.88,41.88,3.0,575.0,16.0,25
13.0,0,169.4,20.68,760.32,1.0,2410.0,25.0,18
12.0,0,65.0,21.25,86.25,4.0,150.0,16.0,19
7.0,0,319.0,0.56,878.04,10.0,16400.0,105.0,18
10.0,0,79.9,16.32,96.22,9.0,650.0,28.0,8
17.0,0,40.0,16.79,56.79,1.0,50.0,16.0,4
8.0,0,179.9,16.02,195.92,2.0,500.0,24.0,25
2.0,0,24.99,7.39,32.38,1.0,250.0,20.0,25
16.0,0,149.0,17.29,166.29,3.0,1143.0,24.0,25
8.0,0,72.62,12.85,85.47,2.0,825.0,42.0,25
10.0,0,109.9,23.57,266.94,8.0,1600.0,30.0,22
8.0,0,97.9,18.79,116.69,4.0,1221.0,40.0,23
7.0,0,7.8,3.08,129.37,10.0,100.0,30.0,25
12.0,0,89.0,14.79,103.79,1.0,200.0,16.0,25
3.0,0,169.9,12.69,912.95,1.0,584.0,16.0,25
13.0,0,78.0,15.3,93.3,1.0,133.0,19.0,17
11.0,0,164.9,17.86,182.76,8.0,3833.0,18.0,25
14.0,0,80.0,16.32,96.32,1.0,700.0,45.0,18
5.0,0,149.0,67.57,433.14,5.0,9950.0,31.0,7
21.0,0,229.9,44.02,273.92,7.0,2700.0,60.0,19
9.0,0,28.99,37.04,66.03,1.0,175.0,17.0,15
9.0,0,750.0,109.71,859.71,10.0,8850.0,45.0,15
8.0,0,27.9,18.3,46.2,1.0,375.0,17.0,10
16.0,0,21.99,15.1,37.09,3.0,225.0,20.0,10
4.0,0,69.99,18.59,88.58,1.0,100.0,21.0,25
14.0,0,29.0,15.1,44.1,1.0,650.0,16.0,23
4.0,0,175.91,19.1,366.24,2.0,800.0,35.0,25
7.0,0,59.9,18.57,78.47,1.0,500.0,25.0,18
7.0,0,49.9,19.54,69.44,1.0,800.0,26.0,10
29.0,1,127.9,18.78,146.68,3.0,350.0,19.0,18
10.0,0,148.0,17.29,165.29,3.0,1100.0,69.0,25
5.0,0,170.0,8.45,356.9,4.0,70.0,24.0,25
15.0,0,119.9,15.59,135.49,1.0,400.0,18.0,10
7.0,0,49.9,13.43,63.33,1.0,1750.0,37.0,25
4.0,0,10.0,20.8,184.8,10.0,100.0,25.0,10
16.0,0,74.67,37.43,112.1,3.0,350.0,16.0,26
29.0,1,55.0,67.31,122.31,5.0,1250.0,22.0,1
6.0,0,34.9,10.38,100.83,1.0,200.0,16.0,25
7.0,0,59.9,13.44,73.34,1.0,1550.0,30.0,25
