actual_delivery_days,is_late,price,freight_value,product_weight_g,customer_state,sentiment_score,review_length
53.0,1,45.0,60.41,300.0,15,0.0,1
8.0,0,5.9,9.34,500.0,25,0.0,1
33.0,0,139.94,30.82,9183.0,18,-1.0,199
2.0,0,59.9,9.34,1000.0,25,0.0,1
6.0,0,39.9,16.05,233.0,25,0.5,28
7.0,0,62.4,12.88,150.0,25,1.0,41
5.0,0,57.9,19.6,1000.0,10,0.0,1
4.0,0,47.9,9.44,650.0,23,0.0,50
14.0,0,24.5,15.1,150.0,18,0.0,1
4.0,0,49.0,7.78,200.0,25,0.0,125
15.0,0,28.9,13.37,400.0,10,1.0,18
5.0,0,27.9,7.87,150.0,25,0.0,1
34.0,0,364.0,54.68,900.0,4,1.0,7
4.0,0,34.9,15.34,150.0,25,0.0,1
51.0,0,79.9,11.48,1190.0,13,0.5,212
10.0,0,44.0,14.1,250.0,18,0.0,1
13.0,0,102.0,17.62,396.0,25,0.5,59
7.0,0,109.9,21.26,2500.0,23,0.0,1
10.0,0,100.0,10.12,360.0,25,0.0,1
1.0,0,12.25,7.39,175.0,25,0.0,1
6.0,0,46.9,18.43,533.0,23,0.5,59
42.0,1,195.9,16.12,400.0,18,0.0,1
37.0,1,13.9,18.23,250.0,7,0.0,1
14.0,0,239.9,24.55,13850.0,4,0.0,47
7.0,0,99.99,15.91,704.0,25,0.0,1
8.0,0,79.8,12.06,250.0,25,0.0,1
18.0,0,51.89,15.46,1110.0,8,0.0,1
20.0,0,95.2,4.33,750.0,11,0.0,1
8.0,0,524.9,26.25,1050.0,22,1.0,19
8.0,0,314.9,13.7,850.0,25,0.5,41
15.0,0,229.99,38.3,567.0,12,0.0,20
4.0,0,43.49,8.72,250.0,25,0.75,29
27.0,0,169.99,36.51,950.0,12,0.0,69
4.0,0,55.92,11.15,1150.0,25,0.0,1
31.0,1,169.99,34.85,3950.0,24,-0.5,27
15.0,0,41.73,15.1,367.0,10,0.0,1
9.0,0,159.0,28.17,100.0,15,0.0,1
14.0,0,68.9,23.06,1450.0,10,0.0,1
16.0,0,53.9,11.75,1650.0,18,0.0,200
5.0,0,39.99,7.54,350.0,25,0.0,1
4.0,0,99.9,14.78,850.0,10,0.0,1
15.0,0,38.59,15.1,450.0,18,-0.5,66
12.0,0,22.4,15.79,50.0,12,0.0,1
8.0,0,289.75,38.94,550.0,25,0.0,1
9.0,0,43.2,15.1,185.0,18,0.0,1
23.0,0,79.0,17.8,7000.0,10,0.0,1
6.0,0,898.0,38.52,20250.0,25,0.25,134
11.0,0,119.9,12.64,2600.0,25,1.0,52
2.0,0,79.9,36.91,4442.0,25,1.0,10
4.0,0,144.0,13.45,468.0,25,1.0,21
7.0,0,89.9,17.88,1183.0,25,0.0,1
2.0,0,89.9,13.65,1350.0,25,0.0,1
10.0,0,89.9,16.88,825.0,17,0.0,1
12.0,0,69.0,16.24,850.0,25,0.75,53
32.0,0,39.0,25.63,433.0,15,1.0,10
6.0,0,79.0,13.57,5550.0,25,0.0,1
8.0,0,249.5,39.8,500.0,15,-0.5,126
21.0,0,51.9,22.07,100.0,4,0.0,1
4.0,0,38.4,7.78,650.0,25,0.0,1
17.0,0,25.99,53.38,375.0,13,0.0,55
15.0,0,35.16,11.85,400.0,25,0.0,101
15.0,0,79.0,12.05,2350.0,25,0.0,177
8.0,0,146.01,39.99,4338.0,14,0.6666666666666666,119
19.0,0,79.99,18.13,550.0,12,0.0,44
15.0,0,176.9,14.07,760.0,4,0.0,1
9.0,0,19.99,18.23,325.0,6,1.0,35
8.0,0,42.97,23.1,1200.0,17,0.0,1
13.0,0,85.0,20.08,3100.0,18,0.0,12
6.0,0,65.0,23.56,2800.0,10,0.3333333333333333,151
8.0,1,89.9,7.89,313.0,25,0.0,1
32.0,1,55.0,23.32,700.0,4,0.0,1
7.0,0,54.99,23.19,1050.0,18,0.0,1
32.0,1,799.6,52.13,1510.0,9,-0.5,197
11.0,0,449.99,16.17,850.0,25,0.0,1
6.0,0,139.99,10.39,1000.0,25,0.0,1
5.0,0,99.9,19.67,875.0,25,0.0,1
7.0,0,138.0,9.72,900.0,25,0.0,1
19.0,0,69.9,20.98,2600.0,18,0.0,1
7.0,0,59.9,7.39,600.0,25,0.0,36
8.0,0,127.27,20.08,625.0,10,0.0,1
6.0,0,59.9,14.59,400.0,25,0.0,1
37.0,1,113.8,27.34,300.0,12,0.0,102
3.0,0,9.9,8.27,200.0,25,0.0,1
9.0,0,59.9,17.13,7000.0,25,0.0,1
14.0,0,29.0,30.46,200.0,17,0.0,1
24.0,1,24.9,16.11,950.0,18,0.0,1
3.0,0,16.9,7.39,200.0,25,0.0,21
7.0,0,43.8,14.44,1700.0,25,1.0,30
8.0,0,29.9,11.89,250.0,25,0.0,1
28.0,1,110.0,20.26,4222.0,25,-0.5,141
3.0,0,75.0,8.11,300.0,17,0.0,1
8.0,0,80.38,13.22,340.0,25,0.75,83
7.0,0,29.99,7.78,425.0,25,0.0,27
12.0,0,389.0,21.91,900.0,1,1.0,6
10.0,0,1149.65,25.93,500.0,17,0.0,1
16.0,0,49.0,13.44,1750.0,25,0.0,1
6.0,1,14.9,7.39,100.0,25,0.0,1
6.0,0,75.26,14.62,1500.0,25,1.0,44
9.0,0,66.1,11.1,400.0,25,0.0,93
19.0,0,89.99,23.76,1200.0,10,0.0,20
15.0,0,69.99,15.24,750.0,18,-0.5,97
10.0,0,199.9,17.03,2450.0,25,0.0,1
7.0,0,199.0,13.74,1025.0,25,0.0,48
0.0,0,219.9,25.7,11400.0,25,0.0,52
1.0,0,30.0,8.37,370.0,25,0.0,1
4.0,0,59.0,12.75,700.0,25,0.5,195
11.0,0,119.5,17.77,560.0,23,0.0,1
11.0,0,48.9,16.6,1800.0,18,0.0,1
19.0,0,22.0,11.85,478.0,25,0.0,1
2.0,0,119.9,12.79,1650.0,25,0.0,23
14.0,0,329.9,41.64,13725.0,6,1.0,45
14.0,0,79.0,23.09,7225.0,10,0.0,1
10.0,0,259.9,43.96,12200.0,25,0.1666666666666666,199
9.0,0,79.99,35.82,2500.0,25,-0.5,150
15.0,0,99.9,23.57,2500.0,18,0.0,25
13.0,0,14.82,15.1,400.0,23,0.0,1
14.0,1,175.91,9.41,800.0,25,0.0,1
10.0,0,81.99,9.5,207.0,25,0.5,42
6.0,0,119.0,39.43,18150.0,25,0.0,1
2.0,0,359.9,62.26,30000.0,25,0.0,1
10.0,1,159.9,64.92,900.0,23,0.0,1
10.0,0,189.9,18.58,1175.0,25,0.0,1
15.0,0,79.9,15.44,150.0,6,-0.75,217
17.0,0,89.0,17.87,6350.0,18,-0.5,135
11.0,0,39.9,17.6,1050.0,11,0.8333333333333334,139
7.0,0,21.99,15.1,150.0,10,0.0,1
4.0,0,20.9,10.96,200.0,25,0.0,1
6.0,0,32.29,8.72,600.0,25,0.0,1
4.0,0,22.3,7.78,300.0,25,0.0,1
9.0,0,99.9,14.79,1000.0,25,1.0,99
13.0,0,45.0,86.21,19700.0,22,-0.5,146
8.0,0,169.99,17.63,200.0,10,1.0,62
7.0,0,28.9,11.85,450.0,25,1.0,45
24.0,0,254.0,54.16,16300.0,18,0.0,1
13.0,1,30.0,8.29,550.0,25,0.0,2
9.0,0,137.9,15.14,300.0,17,0.0,1
4.0,0,35.0,19.44,650.0,10,0.875,84
4.0,0,12.25,7.39,175.0,25,0.0,1
7.0,0,27.9,18.3,50.0,23,0.75,57
16.0,0,239.0,15.42,225.0,18,-1.0,192
12.0,0,34.99,15.1,217.0,23,0.0,1
16.0,0,79.9,16.32,900.0,8,0.0,1
9.0,0,79.9,15.32,900.0,10,0.0,82
11.0,0,12.97,16.05,100.0,22,0.0,1
15.0,0,89.9,18.87,1045.0,12,0.0,65
16.0,0,47.9,16.11,600.0,18,0.0,1
5.0,0,108.0,20.04,100.0,25,0.5,58
15.0,0,159.0,35.63,2750.0,4,0.0,1
3.0,0,517.8,27.71,10600.0,25,0.0,1
8.0,0,83.9,12.72,321.0,25,0.0,1
8.0,0,215.49,13.01,383.0,25,-0.5,68
14.0,0,102.0,9.85,550.0,25,0.0,1
8.0,0,65.0,11.95,217.0,25,0.5,49
9.0,0,33.33,17.06,250.0,10,0.0,1
11.0,0,79.9,19.75,550.0,8,0.0,89
13.0,0,529.9,64.69,450.0,12,0.0,42
21.0,0,21.99,16.79,300.0,4,0.0,1
28.0,1,69.0,15.36,575.0,10,0.0,190
2.0,0,79.9,7.81,333.0,25,0.0,25
9.0,0,39.99,16.95,350.0,10,0.0,1
4.0,0,21.9,18.99,117.0,25,0.0,1
2.0,0,24.9,8.64,200.0,25,0.0,1
28.0,0,135.9,36.27,2050.0,14,0.5,72
9.0,0,145.9,18.9,335.0,10,0.7,71
11.0,0,199.9,27.48,2600.0,10,0.6666666666666666,88
2.0,0,13.49,7.87,100.0,25,0.75,64
12.0,0,99.99,15.46,550.0,25,0.0,68
28.0,1,117.99,23.7,2550.0,4,-0.5,91
6.0,0,79.9,14.46,1700.0,4,-0.5,73
5.0,0,85.0,13.15,3100.0,25,0.0,1
7.0,0,39.0,13.37,1200.0,25,0.0,28
9.0,0,69.9,27.44,1150.0,18,0.0,1
6.0,0,289.9,14.28,440.0,6,0.0,1
5.0,0,22.5,25.85,5150.0,18,0.0,1
41.0,1,144.0,18.26,1050.0,18,-0.5,54
14.0,0,51.0,1.2,600.0,8,0.0,1
11.0,0,129.97,38.75,8300.0,25,0.0,1
10.0,0,149.9,53.18,533.0,25,0.0,1
13.0,0,19.9,17.63,100.0,4,0.0,1
43.0,1,57.0,18.28,350.0,7,-0.5,208
5.0,0,29.9,7.71,250.0,25,0.0,1
33.0,1,69.9,16.74,1100.0,7,-0.5,33
37.0,1,140.0,81.8,10800.0,5,0.5,140
4.0,0,35.9,8.88,300.0,25,0.0,1
32.0,1,53.99,15.13,200.0,23,0.0,1
8.0,0,114.0,38.35,1100.0,6,0.0,73
5.0,0,89.9,11.24,1383.0,25,0.0,1
4.0,0,160.0,13.03,6617.0,25,0.0,1
4.0,0,130.0,11.53,1600.0,25,0.0,1
4.0,0,91.9,14.95,1350.0,25,0.6666666666666666,66
7.0,0,99.9,22.0,2250.0,25,0.0,1
10.0,0,19.9,15.1,200.0,18,0.0,1
5.0,0,110.0,23.92,1000.0,10,0.0,1
2.0,0,19.0,7.39,250.0,25,0.5,220
5.0,0,120.0,13.75,16550.0,25,0.0,1
3.0,0,40.0,9.03,700.0,25,0.0,1
21.0,0,119.9,56.73,300.0,19,1.0,4
2.0,0,120.0,8.1,300.0,25,0.0,1
7.0,0,189.9,27.65,8400.0,25,0.0,1
10.0,0,229.99,75.69,18250.0,25,1.0,19
3.0,0,46.2,9.44,500.0,25,-0.5,91
19.0,0,93.9,10.16,1200.0,17,0.0,97
8.0,0,24.9,11.85,250.0,25,0.0,1
5.0,0,34.0,11.5,1400.0,18,0.0,1
5.0,0,63.0,23.35,1588.0,18,0.75,102
14.0,0,159.0,17.55,425.0,12,0.5,85
16.0,0,69.0,17.73,1350.0,8,0.0,1
12.0,0,390.0,49.68,1900.0,23,0.0,47
6.0,0,299.0,20.19,150.0,23,0.0,66
6.0,0,29.9,14.11,300.0,18,0.0,1
20.0,0,38.9,15.1,300.0,18,0.0,1
11.0,0,97.9,15.57,850.0,7,1.0,38
24.0,1,90.0,15.38,14050.0,18,1.0,12
56.0,1,72.9,16.95,213.0,18,-0.75,201
12.0,0,89.0,17.87,6100.0,18,0.0,1
2.0,0,155.0,27.94,12600.0,25,1.0,30
7.0,0,99.0,19.88,900.0,10,1.0,110
6.0,0,139.0,67.56,7650.0,18,0.5,52
3.0,0,79.9,11.89,1700.0,25,0.5,33
7.0,0,109.9,23.35,1350.0,18,0.0,1
5.0,0,16.9,15.1,200.0,6,0.0,1
5.0,0,53.9,12.86,1800.0,10,1.0,44
4.0,0,356.0,16.19,3700.0,25,0.0,1
11.0,0,79.99,13.0,450.0,25,0.0,1
9.0,0,9.9,8.27,200.0,25,0.0,1
18.0,0,39.9,15.56,1000.0,25,0.0,149
8.0,0,219.9,42.49,11850.0,10,0.875,109
14.0,0,12.99,11.85,250.0,25,1.0,6
8.0,0,56.0,19.58,380.0,22,1.0,6
15.0,0,207.9,20.7,1400.0,4,0.0,1
17.0,0,149.9,63.07,2650.0,9,0.0,1
23.0,0,19.9,16.79,150.0,10,0.0,1
5.0,0,13.99,14.1,50.0,17,0.0,1
8.0,0,152.9,13.51,400.0,25,-0.5,199
14.0,0,49.9,14.08,1350.0,18,0.0,1
11.0,0,59.9,16.18,550.0,22,1.0,34
9.0,0,331.9,20.42,417.0,18,0.0,133
49.0,1,29.9,25.19,3450.0,10,0.0,1
9.0,0,138.0,70.96,6950.0,24,0.6666666666666666,74
4.0,0,69.5,13.51,1100.0,25,-1.0,116
9.0,0,84.9,13.61,1400.0,25,0.0,1
16.0,0,43.9,22.85,515.0,1,0.0,5
9.0,0,69.98,28.4,10500.0,25,0.0,1
12.0,0,150.0,24.02,4000.0,10,0.0,1
5.0,0,45.0,18.23,75.0,17,0.5,56
35.0,1,29.98,50.85,175.0,24,-0.5,197
12.0,0,85.99,20.7,1900.0,17,0.0,1
19.0,0,99.0,12.85,1150.0,25,0.0,1
19.0,0,25.0,14.1,250.0,18,-0.5,142
9.0,0,59.9,4.48,1750.0,25,1.0,40
7.0,0,169.0,16.89,5700.0,25,0.0,1
2.0,0,314.9,14.64,400.0,25,0.0,1
15.0,0,70.0,40.46,17250.0,25,1.0,150
8.0,1,38.7,13.57,3214.0,25,0.25,81
6.0,0,129.99,46.4,16125.0,18,0.25,33
23.0,0,93.99,38.21,1255.0,9,0.0,1
12.0,0,124.99,18.59,8683.0,25,1.0,21
20.0,0,34.9,17.92,350.0,10,0.0,1
7.0,0,32.9,12.44,300.0,10,1.0,29
15.0,0,49.9,24.84,200.0,13,1.0,44
10.0,0,65.0,17.71,850.0,17,0.0,1
12.0,0,67.8,11.47,200.0,18,0.0,1
3.0,0,42.49,7.78,600.0,25,0.0,1
8.0,0,25.5,19.37,900.0,10,1.0,91
14.0,0,113.57,18.04,835.0,22,0.0,1
11.0,0,129.9,14.68,2100.0,25,0.0,1
5.0,0,7.8,15.1,100.0,10,0.0,1
11.0,0,69.9,17.92,550.0,22,0.0,1
3.0,0,39.9,9.34,900.0,25,-0.5,141
19.0,0,59.9,14.17,600.0,22,0.0,1
2.0,0,69.9,13.61,100.0,22,-0.8333333333333334,135
23.0,0,44.99,17.6,1100.0,10,0.0,1
19.0,0,39.9,25.63,200.0,12,0.0,1
5.0,0,109.99,15.53,633.0,10,0.0,1
4.0,0,117.3,14.43,4105.0,25,0.0,1
8.0,0,38.0,15.1,400.0,22,0.0,1
9.0,0,44.88,19.23,975.0,25,0.0,1
8.0,0,87.99,13.64,2100.0,25,0.0,1
9.0,0,499.99,15.94,425.0,25,0.0,1
8.0,0,27.9,12.48,200.0,10,0.0,1
12.0,1,25.99,7.78,150.0,25,0.0,91
9.0,0,39.9,21.15,200.0,9,0.0,1
10.0,0,9.6,16.11,600.0,18,-0.5,99
9.0,0,25.89,14.1,125.0,10,1.0,10
5.0,0,229.9,19.71,333.0,17,0.0,1
4.0,0,99.0,14.03,100.0,22,0.0,1
20.0,0,199.0,23.71,525.0,9,1.0,37
8.0,0,149.9,23.98,533.0,4,0.0,1
9.0,0,72.9,12.01,900.0,25,0.75,57
6.0,0,49.9,7.39,900.0,25,0.0,1
17.0,0,129.99,35.43,8950.0,23,0.0,1
21.0,0,174.9,21.67,483.0,22,0.0,1
4.0,0,57.9,20.25,500.0,25,0.0,32
2.0,0,205.9,34.14,13500.0,17,0.0,1
6.0,0,48.9,18.23,350.0,22,0.0,1
2.0,0,48.9,9.09,600.0,25,0.0,1
8.0,0,45.99,7.39,200.0,25,-0.5,76
8.0,0,99.99,17.95,1200.0,10,0.0,1
18.0,0,84.9,17.46,1400.0,23,0.0,81
12.0,0,39.9,15.1,105.0,25,0.0,1
21.0,0,29.9,15.1,250.0,18,0.0,1
12.0,0,49.99,18.23,300.0,18,0.0,1
10.0,0,31.9,14.1,200.0,25,0.0,1
12.0,0,399.99,63.16,30000.0,10,1.0,68
5.0,0,26.0,7.02,350.0,25,1.0,159
14.0,0,26.0,14.52,266.0,10,0.0,1
6.0,0,42.0,15.39,336.0,18,0.0,1
8.0,0,42.9,18.4,150.0,25,1.0,26
2.0,0,198.9,12.0,610.0,18,0.5,35
1.0,0,39.9,7.39,200.0,25,0.0,66
10.0,0,189.9,23.47,7600.0,25,0.0,1
10.0,0,79.9,3.68,180.0,18,0.0,1
16.0,0,84.9,16.35,900.0,18,0.0,1
7.0,0,64.9,11.71,1205.0,18,0.0,1
13.0,0,49.9,17.97,3100.0,10,0.0,1
6.0,0,118.9,15.0,900.0,25,0.0,1
3.0,0,7.9,8.29,200.0,25,0.0,1
2.0,0,32.9,9.34,4900.0,25,0.0,1
10.0,0,99.9,20.19,850.0,22,0.0,1
12.0,0,39.99,18.23,950.0,18,0.0,1
