customer_zip_code_prefix,geolocation_lat,geolocation_lng
1001,-23.550380539269455,-46.63402699777831
1002,-23.548551065785627,-46.63507239078997
1003,-23.54897652899767,-46.63531311226845
1004,-23.549534948092827,-46.634770582289825
1005,-23.54961248124544,-46.63653202553522
1006,-23.550317224536894,-46.63622549584506
1007,-23.55034858312654,-46.63734214071785
1008,-23.545395979326535,-46.635598592835734
1009,-23.54693540437998,-46.63658792659698
1010,-23.54565700582837,-46.6346895341229
1011,-23.546690486964888,-46.6354469588072
1012,-23.54774227061568,-46.63488111172018
1013,-23.547307871775622,-46.63423572661436
1014,-23.546065945322862,-46.63358224756194
1015,-23.54797349999999,-46.631701306827225
1016,-23.549251053963594,-46.632135517086056
1017,-23.54968991921072,-46.63111414126611
1018,-23.550598321195395,-46.63188
1019,-23.55166351540767,-46.63093168887411
1020,-23.552494470713864,-46.62960898251487
1021,-23.544184662502165,-46.63214268206478
1022,-23.544497629753597,-46.631461751457095
1023,-23.542092880648095,-46.63137717319231
1024,-23.541389521053937,-46.62989908781218
1025,-23.540410813203355,-46.631264935195325
1026,-23.539439503750906,-46.63284391414975
1027,-23.53801519954993,-46.63043882598531
1028,-23.536027749379617,-46.632878533585306
1029,-23.541095849847075,-46.63297044005707
1030,-23.538399296150907,-46.63297206480466
1031,-23.542520789115148,-46.63533516134283
1032,-23.540742303912527,-46.63525058950317
1033,-23.540035348866123,-46.63581027505907
1034,-23.54239162719593,-46.63745558840666
1035,-23.540983825979165,-46.64256855760085
1036,-23.541700023861782,-46.64131782056096
1037,-23.545410010472594,-46.63881853301754
1038,-23.544139809596672,-46.64041077352986
1039,-23.5417538351319,-46.63976074078128
1040,-23.5406306991459,-46.63784230127247
1041,-23.543712849558617,-46.6402632336835
1042,-23.54488036525475,-46.64032833172723
1043,-23.545781968088136,-46.641376633648726
1044,-23.545662511930896,-46.641384647440745
1045,-23.542392919396363,-46.64280268887412
1046,-23.54608112703553,-46.64381018541167
1047,-23.54627311241268,-46.64122516971552
1048,-23.547162090484132,-46.639559140501504
1049,-23.54775736886144,-46.64021604302036
1050,-23.54898587913322,-46.643139396906825
1101,-23.526091267557256,-46.63137211754856
1102,-23.52261021648681,-46.62942387523806
1103,-23.535453394396647,-46.63170629156326
1104,-23.53500886427381,-46.62963536441802
1105,-23.534220153759595,-46.62957259920161
1106,-23.531046789341573,-46.62865354731952
1107,-23.527488477667426,-46.62717387010217
1108,-23.52756187663738,-46.629436653975944
1109,-23.52443609001689,-46.627455970858094
1120,-23.530534789485802,-46.63934288253786
1121,-23.528535045242062,-46.63568569080736
1122,-23.531280767701485,-46.63949768858565
1123,-23.52934877491485,-46.63675764418032
1124,-23.528344494864104,-46.63298459547579
1125,-23.526997009435053,-46.64019737301636
1126,-23.526578205248406,-46.63928793769115
1127,-23.525865151956253,-46.640097743551244
1128,-23.52383699278664,-46.640687789197344
1129,-23.524372634196983,-46.64555244317329
1130,-23.523328708292496,-46.64480241771019
1131,-23.522384592979957,-46.6458632305816
1132,-23.520905455450425,-46.64840659893825
1133,-23.519658499855773,-46.65398781890184
1134,-23.51867680707737,-46.6531159131789
1135,-23.526908245080445,-46.65089423910785
1136,-23.52350959838998,-46.66362145420966
1137,-23.523144766840574,-46.652821735882625
1138,-23.52250374604707,-46.65541993450284
1139,-23.52076037607479,-46.66428988130433
