iter	Passed	Remaining
0	157	78426
1	177	44193
2	198	32839
3	216	26839
4	234	23260
5	253	20879
6	272	19205
7	291	17908
8	309	16882
9	328	16113
10	348	15481
11	367	14935
12	386	14488
13	409	14200
14	429	13878
15	453	13706
16	477	13576
17	502	13466
18	527	13353
19	546	13119
20	565	12895
21	584	12701
22	604	12527
23	623	12360
24	642	12201
25	661	12055
26	680	11927
27	699	11798
28	719	11679
29	738	11571
30	758	11471
31	777	11369
32	797	11281
33	816	11194
34	835	11102
35	855	11021
36	874	10945
37	894	10869
38	923	10916
39	959	11029
40	992	11115
41	1022	11150
42	1052	11190
43	1079	11183
44	1105	11175
45	1132	11176
46	1153	11120
47	1172	11041
48	1192	10976
49	1212	10910
50	1230	10836
51	1250	10773
52	1269	10703
53	1291	10666
54	1311	10611
55	1331	10557
56	1349	10487
57	1368	10431
58	1388	10377
59	1408	10326
60	1430	10294
61	1449	10241
62	1466	10169
63	1485	10120
64	1504	10070
65	1523	10016
66	1543	9973
67	1561	9922
68	1580	9874
69	1599	9825
70	1617	9775
71	1636	9729
72	1655	9685
73	1675	9643
74	1694	9601
75	1713	9557
76	1732	9516
77	1750	9472
78	1769	9430
79	1787	9386
80	1806	9347
81	1825	9305
82	1844	9267
83	1863	9229
84	1882	9193
85	1902	9157
86	1921	9123
87	1943	9098
88	1963	9067
89	1981	9028
90	2000	8993
91	2019	8957
92	2037	8917
93	2056	8883
94	2075	8847
95	2094	8812
96	2111	8771
97	2129	8736
98	2149	8704
99	2167	8670
100	2185	8634
101	2203	8598
102	2222	8564
103	2240	8531
104	2258	8495
105	2277	8466
106	2295	8431
107	2313	8398
108	2332	8368
109	2351	8336
110	2370	8306
111	2388	8275
112	2408	8247
113	2425	8214
114	2445	8186
115	2467	8167
116	2487	8142
117	2506	8113
118	2525	8086
119	2545	8059
120	2564	8031
121	2582	8002
122	2601	7974
123	2620	7946
124	2639	7919
125	2658	7892
126	2677	7863
127	2697	7838
128	2714	7805
129	2732	7777
130	2752	7751
131	2770	7724
132	2788	7695
133	2807	7668
134	2826	7642
135	2845	7616
136	2863	7586
137	2881	7559
138	2900	7532
139	2920	7508
140	2940	7486
141	2961	7466
142	2980	7442
143	2998	7413
144	3017	7387
145	3036	7361
146	3054	7334
147	3072	7308
148	3091	7283
149	3110	7257
150	3129	7233
151	3148	7208
152	3165	7180
153	3185	7156
154	3202	7127
155	3221	7103
156	3239	7078
157	3257	7052
158	3276	7026
159	3294	7001
160	3312	6975
161	3331	6951
162	3350	6926
163	3369	6903
164	3392	6888
165	3413	6868
166	3433	6846
167	3454	6826
168	3474	6805
169	3494	6783
170	3513	6759
171	3532	6735
172	3551	6712
173	3569	6688
174	3587	6663
175	3607	6641
176	3626	6618
177	3645	6595
178	3664	6571
179	3683	6547
180	3702	6525
181	3720	6500
182	3739	6477
183	3757	6453
184	3775	6428
185	3793	6404
186	3812	6381
187	3830	6357
188	3850	6335
189	3869	6313
190	3889	6291
191	3909	6271
192	3927	6248
193	3948	6228
194	3968	6207
195	3989	6187
196	4009	6166
197	4028	6145
198	4048	6123
199	4067	6101
200	4086	6078
201	4105	6056
202	4124	6034
203	4143	6012
204	4162	5989
205	4181	5967
206	4198	5943
207	4218	5921
208	4236	5899
209	4255	5876
210	4273	5853
211	4292	5830
212	4311	5808
213	4330	5786
214	4348	5763
215	4366	5741
216	4386	5720
217	4405	5699
218	4425	5678
219	4445	5657
220	4464	5636
221	4483	5614
222	4504	5594
223	4523	5573
224	4542	5551
225	4561	5529
226	4579	5507
227	4598	5486
228	4616	5462
229	4635	5441
230	4654	5420
231	4672	5398
232	4692	5377
233	4710	5354
234	4729	5333
235	4748	5311
236	4766	5289
237	4785	5268
238	4804	5246
239	4821	5223
240	4840	5202
241	4860	5181
242	4879	5161
243	4899	5140
244	4918	5119
245	4940	5100
246	4960	5080
247	4978	5058
248	4997	5037
249	5018	5018
250	5037	4997
251	5056	4975
252	5075	4954
253	5094	4933
254	5113	4912
255	5130	4889
256	5148	4868
257	5167	4846
258	5187	4826
259	5206	4805
260	5228	4787
261	5247	4766
262	5265	4744
263	5283	4723
264	5302	4702
265	5321	4681
266	5340	4660
267	5360	4640
268	5380	4620
269	5400	4600
270	5420	4580
271	5440	4560
272	5461	4540
273	5479	4519
274	5498	4499
275	5518	4478
276	5540	4460
277	5559	4439
278	5577	4418
279	5595	4396
280	5614	4375
281	5633	4354
282	5651	4333
283	5670	4312
284	5689	4291
285	5712	4274
286	5737	4258
287	5762	4242
288	5785	4224
289	5803	4202
290	5822	4181
291	5841	4161
292	5860	4140
293	5878	4118
294	5898	4098
295	5918	4078
296	5937	4058
297	5956	4037
298	5975	4016
299	5994	3996
300	6012	3975
301	6031	3954
302	6053	3935
303	6072	3914
304	6091	3894
305	6110	3874
306	6129	3853
307	6148	3832
308	6166	3811
309	6185	3791
310	6205	3770
311	6222	3749
312	6243	3729
313	6262	3709
314	6280	3688
315	6299	3667
316	6317	3647
317	6336	3626
318	6356	3606
319	6377	3587
320	6397	3567
321	6417	3547
322	6437	3527
323	6456	3507
324	6475	3486
325	6494	3466
326	6513	3445
327	6532	3425
328	6551	3405
329	6574	3386
330	6593	3366
331	6613	3346
332	6632	3326
333	6652	3306
334	6671	3286
335	6689	3265
336	6709	3245
337	6728	3224
338	6747	3204
339	6766	3184
340	6784	3163
341	6802	3142
342	6820	3122
343	6839	3101
344	6858	3081
345	6877	3061
346	6896	3040
347	6919	3022
348	6938	3001
349	6957	2981
350	6976	2961
351	6995	2941
352	7014	2920
353	7032	2900
354	7051	2880
355	7070	2859
356	7093	2841
357	7116	2822
358	7136	2802
359	7155	2782
360	7174	2762
361	7194	2742
362	7212	2722
363	7230	2701
364	7251	2681
365	7270	2661
366	7289	2641
367	7308	2621
368	7326	2601
369	7346	2581
370	7369	2562
371	7388	2542
372	7406	2521
373	7425	2501
374	7445	2481
375	7464	2461
376	7484	2441
377	7503	2421
378	7521	2401
379	7540	2381
380	7559	2361
381	7578	2340
382	7599	2321
383	7617	2301
384	7636	2281
385	7655	2260
386	7678	2241
387	7699	2222
388	7719	2202
389	7737	2182
390	7755	2161
391	7774	2141
392	7792	2121
393	7811	2101
394	7830	2081
395	7849	2061
396	7869	2041
397	7889	2022
398	7909	2002
399	7928	1982
400	7947	1962
401	7967	1942
