seller_id,seller_zip_code_prefix,seller_city,seller_state,seller_region,is_hub_seller
3442f8959a84dea7ee197c632cb2df15,13023,Campinas,SP,SE,1
d1b65fc7debc3361ea86b5f14c68d2e2,13844,Mogi Guacu,SP,SE,1
ce3ad9de960102d0677a81f5d0bb7b2d,20031,Rio De Janeiro,RJ,SE,0
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,Sao Paulo,SP,SE,1
51a04a8a6bdcb23deccc82b0b80742cf,12914,Braganca Paulista,SP,SE,1
c240c4061717ac1806ae6ee72be3533b,20920,Rio De Janeiro,RJ,SE,0
e49c26c3edfa46d227d5121a6b6e4d37,55325,Brejao,PE,NE,0
1b938a7ec6ac5061a66a3766e0e75f90,16304,Penapolis,SP,SE,1
768a86e36ad6aae3d03ee3c6433d61df,1529,Sao Paulo,SP,SE,1
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,Curitiba,PR,S,0
8cb7c5ddf41f4d506eba76e9a4702a25,75110,Anapolis,GO,CO,0
a7a9b880c49781da66651ccf4ba9ac38,13530,Itirapina,SP,SE,1
8bd0f31cf0a614c658f6763bd02dea69,1222,Sao Paulo,SP,SE,1
05a48cc8859962767935ab9087417fbb,5372,Sao Paulo,SP,SE,1
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,Tubarao,SC,S,0
1444c08e64d55fb3c25f0f09c07ffcf2,42738,Lauro De Freitas,BA,NE,0
166e8f1381e09651983c38b1f6f91c11,88780,Imbituba,SC,S,0
e38db885400cd35c71dfd162f2c1dbcf,70740,Brasilia,DF,CO,0
d2e753bb80b7d4faa77483ed00edc8ca,45810,Porto Seguro,BA,NE,0
f9ec7093df3a7b346b7bcf7864069ca3,5138,Sao Paulo,SP,SE,1
4e6015589b781adaa5ce7f1892d06bb1,11440,Guaruja,SP,SE,1
4cf490a58259286ada5ba8525ba9e84a,14910,Tabatinga,SP,SE,1
f7496d659ca9fdaf323c0aae84176632,4156,Sao Paulo,SP,SE,1
2ff97219cb8622eaf3cd89b7d9c09824,13320,Salto,SP,SE,1
8bd0e3abda539b9479c4b44a691be1ec,98910,Tres De Maio,RS,S,0
2a1348e9addc1af5aaa619b1a3679d6b,30494,Belo Horizonte,MG,SE,0
2078fe5066350e7d220c0ad3a3bbc6c1,86707,Arapongas,PR,S,0
116ccb1a1604bc88e4d234a8c23f33de,9850,Sao Bernardo Do Campo,SP,SE,1
430315b7bb4b6e4b3c978f9dfa9b0558,4857,Sao Paulo,SP,SE,1
406822777a0b9eb5c50e442dd4cd3ec5,18500,Tatui,SP,SE,1
4dbd95a08b31ede5c82d3f861cb1ce1a,80210,Curitiba,PR,S,0
e9e446d01bd10a97a8ffcfc4a3a20cb2,2261,Sao Paulo,SP,SE,1
d52cbce9845184537284a23c3bc3da0e,88495,Garopaba,SC,S,0
d9a84e1403de8da0c3aa531d6d108ba6,3562,Sao Paulo,SP,SE,1
9c690ceacd5c66731bf443ea810195cb,37650,Camanducaia,MG,SE,0
1f9ab4708f3056ede07124aad39a2554,17602,Tupa,SP,SE,1
1961c3e1272bfeceb05d0b78b5bbfdaf,7241,Guarulhos,SP,SE,1
d3e7d37c0df9aef383f3f2a15b0dddfb,83050,Sao Jose Dos Pinhais,PR,S,0
ec2e006556300a79a5a91e4876ab3a56,3445,Sao Paulo,SP,SE,1
b2a6d334e2833acea353624840e25a0e,4133,Sao Paulo,SP,SE,1
d3674f271c91f824f82d24d92011f669,72233,Brasilia,DF,CO,0
768de2a4fc06aacecb9a586ccc30746a,70645,Brasilia,DF,CO,0
a81466620e46a6970b22ef40379fdfc9,88730,Sao Ludgero,SC,S,0
5c030029b5916fed0986310385ec9009,88075,Sao Jose,SC,S,0
c0f783394e37cd9c9d7f5f81141450fa,13416,Piracicaba,SP,SE,1
c353f8fc0ce8344999f17d578eb69a5e,90850,Porto Alegre,RS,S,0
8444e55c1f13cd5c179851e5ca5ebd00,37584,Congonhal,MG,SE,0
28a26ebce31d5918b181ede016fd693b,31950,Belo Horizonte,MG,SE,0
41ab63a91b8b264e8c8780368bf1dd5b,31555,Belo Horizonte,MG,SE,0
8759e7aedd644f487315e5860962f162,9251,Santo Andre,SP,SE,1
e546117ed9cafbc40239c0c78635c584,4705,Sao Paulo,SP,SE,1
d71d863e5ef30d94e440c11be17dcd8f,6144,Osasco,SP,SE,1
0c7533c71df861ec58ad7ff999ed0e8d,13270,Valinhos,SP,SE,1
ef990a83bbea832f36ebe81376335aa8,89214,Joinville,SC,S,0
41e0fa5761c886a630994a55c12087e7,11446,Guaruja,SP,SE,1
0747d5bb69f0586cc869d8af4c50f93e,28990,Saquarema,RJ,SE,0
7d294cf9a6a69dc6a0c3e540fff0e039,88390,Barra Velha,SC,S,0
c89cf7c468a48af70aada384e722f9e2,25730,Petropolis,RJ,SE,0
b7ba853e9551f4558440881fd3e5c815,95500,Santo Antonio Da Patrulha,RS,S,0
13c2ed7698b3ca92dad49e849219da59,84010,Ponta Grossa,PR,S,0
cbbd5ae8f53de5f5097cd8217b529e24,6544,Santana De Parnaiba,SP,SE,1
02ecc2a19303f05e59ce133fd923fff7,9121,Santo Andre,SP,SE,1
c013e57c075a06e5b5c48ee03c525719,13568,Sao Carlos,SP,SE,1
55f7a3319d80f7fdf078b8f03e6725fe,6056,Osasco,SP,SE,1
2d50d6282f8aa2257819a77bfaa0efe0,14940,Ibitinga,SP,SE,1
b7e1750c1157341d2abd0251e07c186b,5741,Sao Paulo,SP,SE,1
b90e891671cffd9557f33a97dc523645,83010,Sao Jose Dos Pinhais,PR,S,0
a416b6a846a11724393025641d4edd5e,3702,Sao Paulo,SP,SE,1
7e93a43ef30c4f03f38b393420bc753a,6429,Barueri,SP,SE,1
5206cc4bc2297c833e6061c49bf9c43f,6192,Osasco,SP,SE,1
f410c8873029fcc3809b9df6d0b28914,95076,Caxias Do Sul,SP,SE,1
ef506c96320abeedfb894c34db06f478,3569,Sao Paulo,SP,SE,1
a13aaf2d2886ab9fb30fb9a920160b8f,89207,Joinville,SC,S,0
7299e27ed73d2ad986de7f7c77d919fa,38440,Araguari,MG,SE,0
8a9260f2b0340411d6d2a56bcf4f7378,32180,Contagem,MG,SE,0
dedcab67899479e4ea5dcc4eba47f587,89258,Jaragua Do Sul,SC,S,0
b2479f944e1b90cf8a5de1bbfde284d6,14940,Ibitinga,SP,SE,1
7722b1df1b0e383e000397b2c11e3e19,9715,Sao Bernardo Do Campo,SP,SE,1
731ef20c231d9a7103a425e83fd91271,88501,Lages - Sc,SC,S,0
78813699ffac347fe27dba345a5f1551,95711,Bento Goncalves,RS,S,0
3296662b1331dea51e744505065ae889,15805,Catanduva,SP,SE,1
411f3b52d857390502ee4e4d5ceabc2d,9400,Ribeirao Pires,SP,SE,1
bba3293d6f5d5af2f415e004e8b93ae3,4726,Sao Paulo,SP,SE,1
4e7c18b98d84e05cbae3ff0ff03846c2,14882,Jaboticabal,SP,SE,1
b56906f7fd1696e043f1bcce164c487b,19830,Echapora,SP,SE,1
d650b663c3b5f6fb392b6326366efa9a,6713,Cotia,SP,SE,1
669ae81880e08f269a64487cfb287169,89160,Rio Do Sul,SC,S,0
c2d70ce2c5d0a2eb75e78668236e6dc8,4275,Sao Paulo,SP,SE,1
674207551483fec113276b67b0d871ff,18040,Sorocaba,SP,SE,1
abe42c5d03695b4257b5c6cbf4e6784e,21235,Rio De Janeiro,RJ,SE,0
1996942dc085d7773ba77a529b163cd0,14850,Pradopolis,SP,SE,1
79b93a308a97792cf53ac75f46da00b5,22420,Rio De Janeiro,RJ,SE,0
7cf4ea70955b00d6b3c22542598e2715,1125,Sao Paulo,SP,SE,1
63ffcb71394dd8ea3872ed9ffda17c74,24813,Itaborai,RJ,SE,0
83353a83fd769dfafa4f21a72b15e3e5,5786,Sao Paulo,SP,SE,1
cda598c48d7c614bc1cad7d8ff6f0010,15137,Mirassol,SP,SE,1
d4910f1cdcfdabd48d6b316e395d4a23,9190,Santo Andre,SP,SE,1
709e16e2b25c7474d980076c6bfc4806,16200,Birigui,SP,SE,1
9dc79dd988ac42f4d56c340d7048420a,3569,Sao Paulo,SP,SE,1
276677b5d08786d5dce7c2149dcce48b,31730,Belo Horizonte,MG,SE,0
9c4d31c7e46ab03a43fc06e3142afd4e,20785,Rio De Janeiro,RJ,SE,0
512d298ac2a96d1931b6bd30aa21f61d,20060,Rio De Janeiro,RJ,SE,0
422be4cc81a457fdb46f47edeb968ae5,14940,Ibitinga,SP,SE,1
99cd94252748d2bdde08e17858233602,12401,Sao Paulo,SP,SE,1
698624c6632eeba1774924dbea24c700,1425,Sao Paulo,SP,SE,1
8bb48dc19fccaa8613b6229bf7f452a2,19803,Assis,SP,SE,1
ad87df7699e83b8a91822a4a0b765c3a,13820,Jaguariuna,SP,SE,1
d6b664fa0667064c6d76394e7848d790,14801,Araraquara,SP,SE,1
98f52e1020fe788c10c0418de4393fec,27963,Macae,RJ,SE,0
62760d278921b5f352461620d68a9cee,13320,Salto,SP,SE,1
eb72802c83dc7547529c9546d1a9b8ef,13504,Rio Claro,SP,SE,1
3f9be91358837bff69df67edfa3e42e8,86039,Londrina,PR,S,0
1d4587203296c8f4ad134dc286fa6db0,5101,Sao Paulo,SP,SE,1
791cfcfe22fe4a771ece27f90017da92,14010,Ribeirao Preto,SP,SE,1
392f7f2c797e4dc077e4311bde2ab8ce,21210,Rio De Janeiro,RN,NE,0
