iter	Logloss
0	0.6849949843
1	0.6775204623
2	0.6719812365
3	0.6669653427
4	0.6621525682
5	0.6572617398
6	0.6527556891
7	0.6493242267
8	0.6460425776
9	0.6427634349
10	0.6403239577
11	0.6380510006
12	0.6359014342
13	0.6342040587
14	0.6322760632
15	0.6305760013
16	0.6294566448
17	0.6282102748
18	0.6270139915
19	0.6256286463
20	0.6245576354
21	0.6237962767
22	0.6227955356
23	0.6220255689
24	0.6212848025
25	0.6205927336
26	0.6197296091
27	0.6192257062
28	0.6187578412
29	0.6181747142
30	0.6176905553
31	0.6172548238
32	0.6167234127
33	0.6160115964
34	0.6155391256
35	0.6149629851
36	0.6145957638
37	0.6143105873
38	0.6139139979
39	0.6135246098
40	0.6131187688
41	0.6128917663
42	0.6124839662
43	0.6121352466
44	0.6118516732
45	0.6115983235
46	0.6113564255
47	0.6110730721
48	0.610779343
49	0.610592777
50	0.6103829482
51	0.6101511434
52	0.6099757565
53	0.6097508385
54	0.6095772134
55	0.6094062732
56	0.6092347462
57	0.6089724961
58	0.6087429134
59	0.60860767
60	0.6083426563
61	0.6080420487
62	0.60780618
63	0.6074969069
64	0.6072593615
65	0.6070475276
66	0.6069229244
67	0.6067492951
68	0.6065756425
69	0.6063253952
70	0.606099621
71	0.6059416675
72	0.6057972521
73	0.605611989
74	0.6054079858
75	0.6051690721
76	0.6050333961
77	0.60488664
78	0.6046693038
79	0.6045036557
80	0.6042327991
81	0.6039597688
82	0.6037807964
83	0.6036121153
84	0.6034051653
85	0.6031935348
86	0.6030708855
87	0.6028916954
88	0.6026963775
89	0.6025700707
90	0.6024360959
91	0.6022376536
92	0.6021320552
93	0.6019453985
94	0.6018640627
95	0.601752262
96	0.6015967006
97	0.601441764
98	0.6013106134
99	0.6011010151
100	0.6009304267
101	0.6008025097
102	0.6006290798
103	0.600385936
104	0.6002588999
105	0.600096269
106	0.5999032525
107	0.5997586908
108	0.5997076014
109	0.5995663634
110	0.599447179
111	0.5992885756
112	0.599164436
113	0.5990639263
114	0.5989646696
115	0.5988536848
116	0.5987855936
117	0.5986353443
118	0.5985181174
119	0.5983904563
120	0.5983165249
121	0.598156403
122	0.5980783431
123	0.5978432779
124	0.5977120425
125	0.5975382746
126	0.5973744825
127	0.5972963603
128	0.5971989605
129	0.5970072445
130	0.5968869124
131	0.5967606832
132	0.5966099549
133	0.5965586252
134	0.5964649813
135	0.5964048838
136	0.5962928489
137	0.5961398306
138	0.5960352965
139	0.5959293859
140	0.5958304819
141	0.5957463609
142	0.595583763
143	0.5954187896
144	0.5952575167
145	0.5951830314
146	0.5950126063
147	0.5948439858
148	0.5947567432
149	0.5946130958
150	0.5945072149
151	0.5943841464
152	0.5942791752
153	0.5941061468
154	0.5940022856
